GENE	TP	FP	FN	P	R
ENSG00000279879	250	459	2	0.353	0.992
ENSG00000262708	0	0	0	0	0
ENSG00000263199	0	0	0	0	0
ENSG00000233940	0	8	0	0.0	0
ENSG00000243704	0	7	0	0.0	0
ENSG00000242396	574	4	0	0.993	1.0
ENSG00000215853	110	8	0	0.932	1.0
ENSG00000225582	8	6	0	0.571	1.0
ENSG00000287721	18	216	0	0.077	1.0
ENSG00000239823	0	0	0	0	0
ENSG00000143575	2742	19	4	0.993	0.999
ENSG00000116906	324	289	0	0.529	1.0
ENSG00000266356	0	12	0	0.0	0
ENSG00000236065	0	947	0	0.0	0
ENSG00000065243	160	1096	0	0.127	1.0
ENSG00000173673	0	2	0	0.0	0
ENSG00000277693	924	745	6	0.554	0.994
ENSG00000173614	144	1647	0	0.08	1.0
ENSG00000252553	32	0	0	1.0	1.0
ENSG00000230461	2864	317	10	0.9	0.997
ENSG00000223450	0	0	0	0	0
ENSG00000224459	0	134	0	0.0	0
ENSG00000237920	2	178	0	0.011	1.0
ENSG00000236936	0	0	0	0	0
ENSG00000234020	28	23	0	0.549	1.0
ENSG00000185245	513	5	1	0.99	0.998
ENSG00000276647	0	0	0	0	0
ENSG00000207256	120	0	0	1.0	1.0
ENSG00000235002	0	5	0	0.0	0
ENSG00000228348	106	0	0	1.0	1.0
ENSG00000265863	0	21	0	0.0	0
ENSG00000260464	2	1	0	0.667	1.0
ENSG00000278878	18	423	0	0.041	1.0
ENSG00000127054	4890	72	28	0.985	0.994
ENSG00000179840	0	2	0	0.0	0
ENSG00000205090	484	0	0	1.0	1.0
ENSG00000267426	89	1532	1	0.055	0.989
ENSG00000117614	418	155	2	0.729	0.995
ENSG00000239704	4	376	0	0.011	1.0
ENSG00000066135	773	2787	3	0.217	0.996
ENSG00000274111	0	219	0	0.0	0
ENSG00000276110	116	6	0	0.951	1.0
ENSG00000005243	4631	247	27	0.949	0.994
ENSG00000278546	20	0	0	1.0	1.0
ENSG00000259815	102	7	0	0.936	1.0
ENSG00000206888	0	302	0	0.0	0
ENSG00000278944	0	242	0	0.0	0
ENSG00000273443	0	84	0	0.0	0
ENSG00000198570	0	99	0	0.0	0
ENSG00000264290	0	20	0	0.0	0
ENSG00000225672	10	23	0	0.303	1.0
ENSG00000021852	2238	65	14	0.972	0.994
ENSG00000281856	0	1556	0	0.0	0
ENSG00000241595	0	3	0	0.0	0
ENSG00000279208	2352	35	4	0.985	0.998
ENSG00000143297	552	68	2	0.89	0.996
ENSG00000283799	22	12	0	0.647	1.0
ENSG00000287738	0	171	0	0.0	0
ENSG00000265775	0	0	0	0	0
ENSG00000154642	1664	97	4	0.945	0.998
ENSG00000260583	400	0	0	1.0	1.0
ENSG00000188581	309	0	1	1.0	0.997
ENSG00000286899	36	31	0	0.537	1.0
ENSG00000232366	0	7	0	0.0	0
ENSG00000226889	0	0	0	0	0
