GENE	TP	FP	FN	P	R
ENSG00000128482	180	49	6	0.786	0.968
ENSG00000232848	308	3	6	0.99	0.981
ENSG00000241318	0	0	0	0	0
ENSG00000178130	0	0	0	0	0
ENSG00000212446	47	2	3	0.959	0.94
ENSG00000088035	1518	142	68	0.914	0.957
ENSG00000108819	125	43	5	0.744	0.962
ENSG00000221083	0	3	0	0.0	0
ENSG00000229201	0	1	0	0.0	0
ENSG00000225982	927	0	23	1.0	0.976
ENSG00000252606	405	0	19	1.0	0.955
ENSG00000108813	4874	0	82	1.0	0.983
ENSG00000261156	24	125	0	0.161	1.0
ENSG00000230015	0	0	0	0	0
ENSG00000207349	189	0	3	1.0	0.984
ENSG00000266262	0	0	0	0	0
ENSG00000233223	0	429	0	0.0	0
ENSG00000273606	0	16	0	0.0	0
ENSG00000232022	2463	32	135	0.987	0.948
ENSG00000172339	1184	116	26	0.911	0.979
ENSG00000275933	0	1	0	0.0	0
ENSG00000143252	6103	165	169	0.974	0.973
ENSG00000220785	135	28	11	0.828	0.925
ENSG00000234144	0	0	0	0	0
ENSG00000227741	143	691	5	0.171	0.966
ENSG00000225857	46	0	2	1.0	0.958
ENSG00000234064	0	84	0	0.0	0
ENSG00000167862	4	27	0	0.129	1.0
ENSG00000283051	4	0	0	1.0	1.0
ENSG00000261706	0	3	0	0.0	0
ENSG00000234512	490	0	10	1.0	0.98
ENSG00000142910	897	5	41	0.994	0.956
ENSG00000233079	963	167	15	0.852	0.985
ENSG00000173673	0	0	0	0	0
ENSG00000223382	3029	64	103	0.979	0.967
ENSG00000228086	118	820	2	0.126	0.983
ENSG00000214518	126	1063	6	0.106	0.955
ENSG00000171345	219	7	5	0.969	0.978
ENSG00000206764	0	0	0	0	0
ENSG00000070731	1094	76	40	0.935	0.965
ENSG00000188878	977	112	47	0.897	0.954
ENSG00000168122	61	5	1	0.924	0.984
ENSG00000237478	248	0	10	1.0	0.961
ENSG00000173786	1140	359	18	0.761	0.984
ENSG00000267466	0	6	0	0.0	0
ENSG00000214812	0	10	0	0.0	0
ENSG00000034152	795	31	35	0.962	0.958
ENSG00000142188	135	211	11	0.39	0.925
ENSG00000004939	409	58	23	0.876	0.947
ENSG00000284332	42	0	0	1.0	1.0
ENSG00000252407	0	0	0	0	0
ENSG00000173757	130	851	6	0.133	0.956
ENSG00000108439	672	231	36	0.744	0.949
ENSG00000081237	5900	2880	504	0.672	0.921
ENSG00000267518	91	1	1	0.989	0.989
ENSG00000157554	2414	346	112	0.875	0.956
ENSG00000034971	2964	24	82	0.992	0.973
ENSG00000278954	27	0	1	1.0	0.964
ENSG00000231814	0	80	0	0.0	0
ENSG00000279321	512	0	18	1.0	0.966
ENSG00000248485	10	51	0	0.164	1.0
ENSG00000279251	0	0	0	0	0
ENSG00000187147	5573	1380	275	0.802	0.953
ENSG00000233030	0	558	0	0.0	0
ENSG00000265095	610	0	4	1.0	0.993
ENSG00000224066	2	0	0	1.0	1.0
ENSG00000198797	0	23	0	0.0	0
ENSG00000184009	3244	12	92	0.996	0.972
ENSG00000134248	1050	1153	44	0.477	0.96
ENSG00000262967	870	6	20	0.993	0.978
ENSG00000223152	0	0	2	0	0.0
ENSG00000158246	295	0	5	1.0	0.983
ENSG00000206931	0	0	0	0	0
ENSG00000267340	0	86	0	0.0	0
ENSG00000235701	0	18	0	0.0	0
ENSG00000227054	0	0	0	0	0
ENSG00000227907	0	80	0	0.0	0
ENSG00000282564	0	7	0	0.0	0
ENSG00000197170	436	251	26	0.635	0.944
ENSG00000228823	0	30	0	0.0	0
ENSG00000277613	25	41	1	0.379	0.962
ENSG00000228118	0	0	0	0	0
ENSG00000263859	0	0	0	0	0
ENSG00000267137	0	0	0	0	0
ENSG00000159200	2625	99	67	0.964	0.975
ENSG00000272141	7	0	1	1.0	0.875
ENSG00000273102	1	241	1	0.004	0.5
ENSG00000271428	538	0	10	1.0	0.982
ENSG00000226945	12	0	0	1.0	1.0
ENSG00000264101	0	2	0	0.0	0
ENSG00000287374	2051	5	35	0.998	0.983
ENSG00000225043	764	0	16	1.0	0.979
ENSG00000117724	495	294	13	0.627	0.974
ENSG00000108528	2395	18	111	0.993	0.956
ENSG00000181656	0	1	0	0.0	0
ENSG00000116871	2355	34	97	0.986	0.96
ENSG00000284882	22	9	0	0.71	1.0
ENSG00000287457	158	12	2	0.929	0.988
ENSG00000238270	455	0	19	1.0	0.96
ENSG00000283690	0	0	0	0	0
ENSG00000223390	0	41	0	0.0	0
ENSG00000198835	0	5	0	0.0	0
ENSG00000229463	2	1	0	0.667	1.0
ENSG00000264359	121	20	1	0.858	0.992
ENSG00000274862	2	148	0	0.013	1.0
ENSG00000287338	0	5	0	0.0	0
ENSG00000271974	0	18	0	0.0	0
ENSG00000215455	0	52	0	0.0	0
ENSG00000232341	0	0	0	0	0
ENSG00000277532	26	11	0	0.703	1.0
ENSG00000197721	222	220	10	0.502	0.957
ENSG00000162692	12652	5	424	1.0	0.968
ENSG00000130766	0	44	0	0.0	0
ENSG00000178096	403	78	11	0.838	0.973
ENSG00000137968	0	583	0	0.0	0
ENSG00000275213	0	4	0	0.0	0
ENSG00000262662	0	1	0	0.0	0
ENSG00000287978	0	0	0	0	0
ENSG00000238022	352	1	6	0.997	0.983
ENSG00000228725	118	1	2	0.992	0.983
ENSG00000283517	238	232	12	0.506	0.952
ENSG00000282872	15	0	1	1.0	0.938
ENSG00000266947	75	39	1	0.658	0.987
ENSG00000272362	38	0	0	1.0	1.0
ENSG00000187980	1454	47	42	0.969	0.972
ENSG00000203356	0	126	0	0.0	0
ENSG00000274702	0	0	0	0	0
ENSG00000271749	0	0	0	0	0
ENSG00000264358	25	0	5	1.0	0.833
ENSG00000287395	0	33	0	0.0	0
ENSG00000277739	0	188	0	0.0	0
ENSG00000227702	12	9	0	0.571	1.0
ENSG00000262262	20	29	2	0.408	0.909
ENSG00000280466	0	2	0	0.0	0
ENSG00000262990	0	22	0	0.0	0
ENSG00000243370	124	1	6	0.992	0.954
ENSG00000223906	2	252	0	0.008	1.0
ENSG00000286198	0	6	0	0.0	0
ENSG00000234984	164	14	4	0.921	0.976
ENSG00000285823	81	0	1	1.0	0.988
ENSG00000267782	0	2	0	0.0	0
ENSG00000186765	1217	52	43	0.959	0.966
ENSG00000186364	3748	235	172	0.941	0.956
ENSG00000212724	140	1594	4	0.081	0.972
ENSG00000278642	100	0	2	1.0	0.98
ENSG00000142973	818	128	42	0.865	0.951
ENSG00000188859	280	359	4	0.438	0.986
ENSG00000232048	0	1	0	0.0	0
ENSG00000226814	455	0	13	1.0	0.972
ENSG00000005156	2382	74	92	0.97	0.963
ENSG00000199666	2	0	0	1.0	1.0
ENSG00000229815	0	46	0	0.0	0
ENSG00000267618	293	2112	19	0.122	0.939
ENSG00000231084	61	2	1	0.968	0.984
ENSG00000284448	6	5	0	0.545	1.0
ENSG00000049283	589	0	15	1.0	0.975
ENSG00000226117	6	0	0	1.0	1.0
ENSG00000157191	1029	13	39	0.988	0.963
ENSG00000131791	0	10	0	0.0	0
ENSG00000229623	0	0	0	0	0
ENSG00000197591	0	0	0	0	0
ENSG00000186866	5047	227	131	0.957	0.975
ENSG00000222952	106	0	6	1.0	0.946
ENSG00000270629	6252	8350	396	0.428	0.94
ENSG00000264491	59	0	5	1.0	0.922
ENSG00000231251	0	0	0	0	0
ENSG00000162398	105	54	7	0.66	0.938
ENSG00000285361	0	11	0	0.0	0
ENSG00000275139	0	4	0	0.0	0
ENSG00000262652	2	1	0	0.667	1.0
ENSG00000168509	1220	45	40	0.964	0.968
ENSG00000234711	0	14	0	0.0	0
ENSG00000263535	0	24	0	0.0	0
ENSG00000234614	8	9	2	0.471	0.8
ENSG00000220323	70	35	2	0.667	0.972
ENSG00000150681	2863	11	87	0.996	0.971
ENSG00000251865	8	0	2	1.0	0.8
ENSG00000162407	14349	994	343	0.935	0.977
ENSG00000084623	477	187	17	0.718	0.966
ENSG00000180999	121	115	7	0.513	0.945
ENSG00000263345	0	3536	0	0.0	0
ENSG00000169242	1046	11	36	0.99	0.967
ENSG00000181754	1995	0	41	1.0	0.98
ENSG00000278873	96	0	0	1.0	1.0
ENSG00000265444	0	0	0	0	0
ENSG00000199318	0	0	0	0	0
ENSG00000233920	49	151	1	0.245	0.98
ENSG00000278967	0	0	0	0	0
ENSG00000228190	0	0	0	0	0
ENSG00000233337	0	0	0	0	0
ENSG00000232751	2	0	0	1.0	1.0
ENSG00000162771	0	22	0	0.0	0
ENSG00000275173	0	8	0	0.0	0
