GENE	TP	FP	FN	P	R
ENSG00000265474	0	0	0	0	0
ENSG00000263338	0	0	0	0	0
ENSG00000287046	0	0	0	0	0
ENSG00000076356	6064	1	142	1.0	0.977
ENSG00000117707	1306	0	214	1.0	0.859
ENSG00000228818	0	0	130	0	0.0
ENSG00000187595	2638	3	290	0.999	0.901
ENSG00000266580	0	0	42	0	0.0
ENSG00000225079	0	0	0	0	0
ENSG00000284703	0	0	0	0	0
ENSG00000285701	0	0	2	0	0.0
ENSG00000076321	101	1	3	0.99	0.971
ENSG00000229106	0	0	304	0	0.0
ENSG00000069248	92	0	4	1.0	0.958
ENSG00000212469	0	0	0	0	0
ENSG00000167858	20	0	0	1.0	1.0
ENSG00000185278	434	1	42	0.998	0.912
ENSG00000164008	0	0	3098	0	0.0
ENSG00000280164	0	0	2	0	0.0
ENSG00000227018	6	0	0	1.0	1.0
ENSG00000158022	965	0	37	1.0	0.963
ENSG00000267151	13	0	11	1.0	0.542
ENSG00000159147	444	1	220	0.998	0.669
ENSG00000197587	16	1	0	0.941	1.0
ENSG00000189280	0	0	8	0	0.0
ENSG00000268993	0	0	0	0	0
ENSG00000223175	0	0	110	0	0.0
ENSG00000079335	4128	1	1292	1.0	0.762
ENSG00000279718	0	0	0	0	0
ENSG00000236994	54	0	0	1.0	1.0
ENSG00000162604	2868	0	112	1.0	0.962
ENSG00000169710	5008	0	184	1.0	0.965
ENSG00000206935	0	0	64	0	0.0
ENSG00000281859	0	0	8	0	0.0
ENSG00000264647	0	0	0	0	0
ENSG00000141696	392	1	14	0.997	0.966
ENSG00000266417	29	0	1	1.0	0.967
ENSG00000286267	0	0	0	0	0
ENSG00000228288	201	0	5	1.0	0.976
ENSG00000228955	0	0	28	0	0.0
ENSG00000200257	0	0	72	0	0.0
ENSG00000278996	0	0	6	0	0.0
ENSG00000276756	17	0	151	1.0	0.101
ENSG00000135821	8571	1	201	1.0	0.977
ENSG00000160097	73	0	1	1.0	0.986
ENSG00000224149	0	0	90	0	0.0
ENSG00000233359	47	0	3	1.0	0.94
ENSG00000215717	314	0	52	1.0	0.858
ENSG00000233084	0	0	0	0	0
