GENE	TP	FP	FN	P	R
ENSG00000278023	54	0	0	1.0	1.0
ENSG00000223963	0	0	0	0	0
ENSG00000231237	635	0	15	1.0	0.977
ENSG00000198740	114	2	5080	0.983	0.022
ENSG00000159164	0	0	0	0	0
ENSG00000230068	0	0	2	0	0.0
ENSG00000278619	20	0	0	1.0	1.0
ENSG00000214518	7	0	125	1.0	0.053
ENSG00000183250	1808	0	8	1.0	0.996
ENSG00000286091	0	0	0	0	0
ENSG00000238236	0	0	0	0	0
ENSG00000229255	0	0	0	0	0
ENSG00000287109	0	0	2666	0	0.0
ENSG00000198744	0	0	0	0	0
ENSG00000263624	0	0	0	0	0
ENSG00000275897	127	0	1	1.0	0.992
ENSG00000143702	1641	1	445	0.999	0.787
ENSG00000224645	0	0	2	0	0.0
ENSG00000213561	0	0	0	0	0
ENSG00000213703	0	0	182	0	0.0
ENSG00000177788	7556	0	180	1.0	0.977
ENSG00000160180	70	0	0	1.0	1.0
ENSG00000179094	6030	0	498	1.0	0.924
ENSG00000265043	0	0	1392	0	0.0
ENSG00000198496	0	0	100	0	0.0
ENSG00000152078	51	0	157	1.0	0.245
ENSG00000233920	50	1	0	0.98	1.0
ENSG00000223416	0	0	64	0	0.0
ENSG00000244097	0	0	0	0	0
ENSG00000205445	0	0	612	0	0.0
ENSG00000117262	3	0	105	1.0	0.028
ENSG00000120952	0	1	0	0.0	0
ENSG00000274487	267	0	2041	1.0	0.116
ENSG00000243970	5213	1	943	1.0	0.847
ENSG00000108821	2230	0	14	1.0	0.994
ENSG00000183036	90	0	0	1.0	1.0
ENSG00000279187	0	0	458	0	0.0
ENSG00000158485	737	0	7	1.0	0.991
ENSG00000158615	0	0	0	0	0
ENSG00000279784	0	0	0	0	0
ENSG00000286758	0	0	12	0	0.0
ENSG00000163399	1306	0	1906	1.0	0.407
ENSG00000228044	380	0	1004	1.0	0.275
ENSG00000281571	0	0	90	0	0.0
ENSG00000162910	7814	0	16	1.0	0.998
ENSG00000274585	0	0	0	0	0
ENSG00000287929	0	0	1554	0	0.0
ENSG00000202389	0	0	0	0	0
ENSG00000243064	0	0	0	0	0
ENSG00000173908	1793	0	17	1.0	0.991
ENSG00000226067	554	0	774	1.0	0.417
ENSG00000240750	0	0	0	0	0
ENSG00000231564	0	0	0	0	0
ENSG00000225196	0	0	0	0	0
ENSG00000260698	0	0	0	0	0
ENSG00000280168	0	0	36	0	0.0
ENSG00000246203	0	0	0	0	0
ENSG00000197084	75	0	7	1.0	0.915
ENSG00000242067	0	0	12	0	0.0
ENSG00000270071	0	0	4	0	0.0
ENSG00000162736	1167	0	5	1.0	0.996
ENSG00000174977	0	0	8	0	0.0
ENSG00000109063	1255	1	7	0.999	0.994
ENSG00000227832	0	0	0	0	0
ENSG00000205231	0	0	0	0	0
ENSG00000278867	0	0	10	0	0.0
ENSG00000259944	0	0	0	0	0
ENSG00000276359	0	0	0	0	0
ENSG00000200942	0	0	4	0	0.0
ENSG00000202078	0	0	0	0	0
ENSG00000214514	183	0	5	1.0	0.973
ENSG00000226096	6	0	10	1.0	0.375
ENSG00000206734	0	0	0	0	0
ENSG00000225934	0	0	0	0	0
ENSG00000198841	0	0	16	0	0.0
ENSG00000200036	0	0	0	0	0
ENSG00000279713	0	0	0	0	0
ENSG00000275860	7	0	11	1.0	0.389
ENSG00000266673	0	0	42	0	0.0
ENSG00000154007	3	0	3	1.0	0.5
ENSG00000281453	0	0	0	0	0
ENSG00000265163	0	0	0	0	0
ENSG00000227078	0	0	0	0	0
ENSG00000199959	0	0	0	0	0
ENSG00000141314	2553	2	19	0.999	0.993
ENSG00000232450	0	0	172	0	0.0
ENSG00000252383	0	0	0	0	0
ENSG00000243781	0	0	12	0	0.0
ENSG00000267166	16	0	0	1.0	1.0
ENSG00000274559	0	0	138	0	0.0
ENSG00000206102	0	0	0	0	0
ENSG00000143771	2896	0	24	1.0	0.992
ENSG00000203663	4	0	0	1.0	1.0
ENSG00000264727	0	0	1432	0	0.0
ENSG00000199135	0	0	0	0	0
ENSG00000273175	570	0	2	1.0	0.997
ENSG00000169509	0	0	0	0	0
ENSG00000262429	0	0	18	0	0.0
ENSG00000236430	0	0	0	0	0
ENSG00000270598	1081	2	7	0.998	0.994
ENSG00000162601	4399	0	15	1.0	0.997
ENSG00000279573	0	0	0	0	0
ENSG00000276088	0	0	636	0	0.0
ENSG00000108344	3770	0	26	1.0	0.993
ENSG00000287193	290	0	32	1.0	0.901
ENSG00000235303	28	0	0	1.0	1.0
ENSG00000270443	0	0	0	0	0
ENSG00000231096	0	0	0	0	0
ENSG00000175931	24053	1	63	1.0	0.997
ENSG00000279064	0	0	0	0	0
ENSG00000162642	8	0	0	1.0	1.0
ENSG00000108963	451	0	695	1.0	0.394
ENSG00000179571	134	5	0	0.964	1.0
ENSG00000108840	359	0	5	1.0	0.986
ENSG00000154957	16	0	0	1.0	1.0
ENSG00000120341	0	0	0	0	0
ENSG00000284399	0	0	0	0	0
ENSG00000267060	0	0	4104	0	0.0
ENSG00000232628	0	0	0	0	0
ENSG00000264701	165	0	161	1.0	0.506
ENSG00000231256	829	0	245	1.0	0.772
